pair,ticker_a,ticker_b,direction,entry_date,exit_date,entry_zscore,exit_zscore,holding_days,pnl,pnl_pct,exit_reason
MSFT/META,MSFT,META,SHORT_SPREAD,2023-08-14 00:00:00,2023-09-26 00:00:00,2.743,0.109,43,220.42,0.31,SIGNAL
GS/JNJ,GS,JNJ,LONG_SPREAD,2023-10-09 00:00:00,2023-10-19 00:00:00,-2.406,-3.706,10,-2238.71,-3.2,STOP_LOSS
WFC/JNJ,WFC,JNJ,LONG_SPREAD,2023-10-09 00:00:00,2023-10-19 00:00:00,-2.493,-3.649,10,-1783.48,-2.55,STOP_LOSS
BAC/JNJ,BAC,JNJ,LONG_SPREAD,2023-10-16 00:00:00,2023-10-19 00:00:00,-2.11,-3.632,3,-1667.46,-2.38,STOP_LOSS
BAC/JNJ,BAC,JNJ,LONG_SPREAD,2023-10-19 00:00:00,2023-10-20 00:00:00,-2.11,-3.621,1,-5.66,-0.01,STOP_LOSS
JPM/PFE,JPM,PFE,LONG_SPREAD,2023-10-09 00:00:00,2023-11-24 00:00:00,-2.509,-1.44,46,-898.52,-1.28,MAX_HOLD
JPM/MRK,JPM,MRK,LONG_SPREAD,2023-10-09 00:00:00,2023-11-24 00:00:00,-2.197,-1.326,46,-717.18,-1.02,MAX_HOLD
JPM/ABT,JPM,ABT,LONG_SPREAD,2023-10-09 00:00:00,2023-11-24 00:00:00,-2.231,-1.183,46,-687.71,-0.98,MAX_HOLD
GS/PFE,GS,PFE,LONG_SPREAD,2023-10-09 00:00:00,2023-11-24 00:00:00,-2.002,-1.453,46,-1023.27,-1.46,MAX_HOLD
WFC/PFE,WFC,PFE,LONG_SPREAD,2023-10-09 00:00:00,2023-11-24 00:00:00,-2.121,-1.25,46,-584.46,-0.83,MAX_HOLD
PEP/WMT,PEP,WMT,SHORT_SPREAD,2023-11-06 00:00:00,2023-11-24 00:00:00,2.245,0.487,18,252.05,0.36,SIGNAL
BAC/JNJ,BAC,JNJ,LONG_SPREAD,2023-10-20 00:00:00,2023-11-27 00:00:00,-2.11,0.0,38,1685.62,2.41,END_OF_BACKTEST
PFE/MRK,PFE,MRK,SHORT_SPREAD,2023-11-06 00:00:00,2023-11-27 00:00:00,2.346,0.0,21,-15.0,-0.02,END_OF_BACKTEST
